Date,AAPL,MSFT,AMZN,NVDA,TSLA,BRK-B,GOOG,XOM,UNH,JPM,JNJ,META,V,PG,HD,MA,CVX,ABBV,MRK,LLY,AVGO,BAC,PEP,KO,PFE,COST,TMO,WMT,CSCO,MCD
1/6/2021,135.560883,266.715149,172.007996,199.732681,226.566666,277.920013,125.316002,58.52552,391.279663,147.926315,157.403717,347.709991,230.889145,129.221588,306.608002,361.492126,97.749481,104.938828,73.346352,224.240677,452.166351,39.727161,141.332062,51.372986,36.921768,390.990692,502.640015,137.773834,50.287029,222.176453
1/7/2021,144.369949,280.508728,166.379501,194.749649,229.066666,278.290009,135.220993,53.413345,404.265442,144.350388,164.531494,356.299988,243.30162,136.212738,317.204529,382.136658,95.015045,108.34861,73.12072,237.899078,463.886414,37.117363,150.800583,54.553261,40.363148,424.638,538.352051,139.268585,52.535709,233.449265
1/8/2021,150.278961,297.216614,173.539505,223.574081,245.240005,285.769989,145.462006,50.583561,408.237244,152.99707,165.420074,379.380005,226.228317,137.223648,315.261749,343.221893,90.311401,113.776741,72.569,252.348907,475.173004,40.397549,150.262543,53.864536,43.830231,450.94693,553.246155,144.690857,56.389297,228.399597
1/9/2021,140.264313,278.096283,164.251999,206.941147,258.493347,272.940002,133.265503,55.399097,383.199921,156.574509,155.224945,339.390015,220.257767,134.727631,317.272156,344.659241,95.955544,101.615311,71.446556,226.46434,463.437225,41.074875,144.516846,50.191303,40.918999,444.868195,569.575867,136.672653,52.003887,233.181717
1/10/2021,148.491821,327.122162,168.621506,255.399872,371.333344,287.01001,148.270493,60.720501,453.169403,162.50499,156.551331,323.570007,209.40062,137.801865,361.123505,332.604858,108.289299,108.021019,84.50602,249.703735,511.829437,46.469131,156.332687,54.328888,41.61351,486.637421,631.419922,146.517639,53.475243,237.475723
1/11/2021,163.856491,326.106171,175.3535,326.414764,381.58667,276.690002,142.451996,56.359776,437.177063,152.841248,149.871368,324.459991,191.60202,140.197952,389.169037,312.578339,106.757042,109.912201,71.894897,243.117096,533.018005,43.249943,154.571991,50.550827,51.117825,534.864136,631.180481,137.898392,52.749565,236.556976
1/12/2021,176.276245,332.365417,166.716995,293.799255,352.26001,299,144.679504,58.405781,494.178741,152.379333,165.500107,336.350006,214.662567,158.622086,403.157806,356.648193,112.27726,129.095352,73.555267,271.616913,640.578552,43.269394,168.047943,57.508591,56.672314,562.947021,665.500732,141.879501,60.954418,260.692474
1/1/2022,173.506531,307.323395,149.573502,244.631256,312.23999,313.019989,135.698502,72.503731,466.594421,142.996994,166.680359,313.26001,224.033188,155.586945,357.973907,383.506989,125.652931,130.515976,78.94236,241.300674,567.624451,45.090115,168.998474,59.256863,50.568401,500.900909,580.01825,137.646286,53.547928,252.309723
1/2/2022,163.916931,295.276703,153.563004,243.622208,290.143341,321.450012,134.891006,74.851791,469.852722,137.271301,159.211746,211.029999,214.07814,151.981339,308.079163,358.606995,137.775238,142.351364,74.194954,245.784698,569.135742,43.194256,159.473312,60.451523,45.392452,514.902588,542.800476,133.068253,53.960224,238.033752
1/3/2022,173.55864,305.314728,162.997498,272.605103,359.200012,352.910004,139.649506,79.705978,503.521515,131.966324,172.560165,222.360001,220.032166,148.968826,291.98407,355.18808,157.426941,156.165512,79.494606,282.773315,610.059692,40.282066,163.018463,60.218418,50.063217,571.894287,589.347656,146.615311,53.95055,241.812408
